Wavenumber,Intensity
4000,55.638432
3999.875,55.636273
3999.75,55.627723
3999.625,55.617319
3999.5,55.60864
3999.375,55.60646
3999.25,55.615156
3999.125,55.631443
3999,55.645382
3998.875,55.652174
3998.75,55.657172
3998.625,55.666006
3998.5,55.6764
3998.375,55.683221
3998.25,55.685048
3998.125,55.681931
3998,55.673297
3997.875,55.662526
3997.75,55.657308
3997.625,55.660412
3997.5,55.665491
3997.375,55.666348
3997.25,55.665368
3997.125,55.668411
3997,55.676711
3996.875,55.687893
3996.75,55.699512
3996.625,55.707279
3996.5,55.705835
3996.375,55.695055
3996.25,55.675554
3996.125,55.627253
3996,55.501887
3995.875,55.260567
3995.75,54.933683
3995.625,54.634634
3995.5,54.495638
3995.375,54.574504
3995.25,54.816953
3995.125,55.107962
3995,55.354828
3994.875,55.526662
3994.75,55.633759
3994.625,55.693491
3994.5,55.721609
3994.375,55.735934
3994.25,55.749098
3994.125,55.760168
3994,55.763349
3993.875,55.760794
3993.75,55.756497
3993.625,55.742687
3993.5,55.706596
3993.375,55.652057
3993.25,55.603245
3993.125,55.58433
3993,55.602018
3992.875,55.646449
3992.75,55.700094
3992.625,55.745301
3992.5,55.772701
3992.375,55.785598
3992.25,55.792107
3992.125,55.794869
3992,55.791102
3991.875,55.772224
3991.75,55.71252
3991.625,55.571715
3991.5,55.336868
3991.375,55.065682
3991.25,54.863272
3991.125,54.802655
3991,54.874681
3990.875,55.019588
3990.75,55.186865
3990.625,55.35092
3990.5,55.489103
3990.375,55.57457
3990.25,55.597873
3990.125,55.582458
3990,55.570454
3989.875,55.593419
3989.75,55.654913
3989.625,55.734792
3989.5,55.807864
3989.375,55.859948
3989.25,55.889489
3989.125,55.900534
3989,55.899893
3988.875,55.897894
3988.75,55.902972
3988.625,55.91354
3988.5,55.921315
3988.375,55.923521
3988.25,55.925696
3988.125,55.932059
3988,55.939987
3987.875,55.945387
3987.75,55.946854
3987.625,55.943493
3987.5,55.935587
3987.375,55.928774
3987.25,55.930143
3987.125,55.937508
3987,55.939077
3986.875,55.926355
3986.75,55.902709
3986.625,55.878596
3986.5,55.864405
3986.375,55.867707
3986.25,55.888013
3986.125,55.91056
3986,55.912929
3985.875,55.883905
3985.75,55.83499
3985.625,55.792088
3985.5,55.778253
3985.375,55.801231
3985.25,55.849839
3985.125,55.901894
3985,55.941163
3984.875,55.968175
3984.75,55.991133
3984.625,56.009614
3984.5,56.014616
3984.375,56.002699
3984.25,55.981476
3984.125,55.960179
3984,55.940894
3983.875,55.918457
3983.75,55.884345
3983.625,55.833845
3983.5,55.775393
3983.375,55.726806
3983.25,55.692599
3983.125,55.651634
3983,55.581848
3982.875,55.496466
3982.75,55.440972
3982.625,55.452825
3982.5,55.532958
3982.375,55.65503
3982.25,55.787195
3982.125,55.90189
3982,55.979972
3981.875,56.014925
3981.75,56.010587
3981.625,55.975897
3981.5,55.928053
3981.375,55.894801
3981.25,55.898311
3981.125,55.934128
3981,55.976293
3980.875,56.002443
3980.75,56.003647
3980.625,55.976282
3980.5,55.924402
3980.375,55.872247
3980.25,55.854681
3980.125,55.885122
3980,55.944
3979.875,56.002329
3979.75,56.044704
3979.625,56.067601
3979.5,56.072479
3979.375,56.069266
3979.25,56.073467
3979.125,56.090543
3979,56.111538
3978.875,56.128254
3978.75,56.142496
3978.625,56.156398
3978.5,56.166018
3978.375,56.170026
3978.25,56.173921
3978.125,56.180314
3978,56.184886
3977.875,56.185306
3977.75,56.183231
3977.625,56.174213
3977.5,56.146004
3977.375,56.087666
3977.25,55.98804
3977.125,55.828657
3977,55.602382
3976.875,55.348168
3976.75,55.147472
3976.625,55.071761
3976.5,55.137038
3976.375,55.307213
3976.25,55.518229
3976.125,55.692718
3976,55.764847
3975.875,55.723448
3975.75,55.626574
3975.625,55.555895
3975.5,55.555586
3975.375,55.619995
3975.25,55.721737
3975.125,55.829234
3975,55.902618
3974.875,55.898485
3974.75,55.797212
3974.625,55.629958
3974.5,55.475311
3974.375,55.418376
3974.25,55.493576
3974.125,55.66061
3974,55.841958
3973.875,55.980691
3973.75,56.054798
3973.625,56.050524
3973.5,55.958888
3973.375,55.806518
3973.25,55.654152
3973.125,55.538454
3973,55.437009
3972.875,55.317165
3972.75,55.205989
3972.625,55.180289
3972.5,55.289026
3972.375,55.5046
3972.25,55.750965
3972.125,55.960357
3972,56.104514
3971.875,56.191206
3971.75,56.242409
3971.625,56.273028
3971.5,56.28635
3971.375,56.286495
3971.25,56.284834
3971.125,56.289677
3971,56.298818
3970.875,56.308278
3970.75,56.318698
3970.625,56.327674
3970.5,56.326373
3970.375,56.305555
3970.25,56.244978
3970.125,56.092703
3970,55.792741
3969.875,55.36998
3969.75,54.974015
3969.625,54.792487
3969.5,54.904166
3969.375,55.22733
3969.25,55.605829
3969.125,55.924884
3969,56.147369
3968.875,56.281958
3968.75,56.349037
3968.625,56.370062
3968.5,56.365228
3968.375,56.349951
3968.25,56.33443
3968.125,56.325775
3968,56.328143
3967.875,56.341947
3967.75,56.364055
3967.625,56.388538
3967.5,56.408942
3967.375,56.422178
3967.25,56.429272
3967.125,56.431867
3967,56.430943
3966.875,56.429855
3966.75,56.433842
3966.625,56.443959
3966.5,56.455556
3966.375,56.464607
3966.25,56.47078
3966.125,56.4729
3966,56.466752
3965.875,56.448106
3965.75,56.412261
3965.625,56.353066
3965.5,56.274401
3965.375,56.203752
3965.25,56.179345
3965.125,56.214845
3965,56.28455
3964.875,56.346584
3964.75,56.372979
3964.625,56.358345
3964.5,56.318189
3964.375,56.286086
3964.25,56.29402
3964.125,56.342513
3964,56.400247
3963.875,56.440865
3963.75,56.465603
3963.625,56.483912
3963.5,56.493624
3963.375,56.491048
3963.25,56.47015
3963.125,56.383879
3963,56.13231
3962.875,55.639734
3962.75,54.953481
3962.625,54.246815
3962.5,53.717606
3962.375,53.495278
3962.25,53.618513
3962.125,54.044053
3962,54.65365
3961.875,55.284622
3961.75,55.801423
3961.625,56.152359
3961.5,56.35944
3961.375,56.468477
3961.25,56.517066
3961.125,56.534449
3961,56.544049
3960.875,56.552444
3960.75,56.540325
3960.625,56.47509
3960.5,56.343341
3960.375,56.178316
3960.25,56.050168
3960.125,56.01927
3960,56.091733
3959.875,56.221295
3959.75,56.351113
3959.625,56.450294
3959.5,56.515846
3959.375,56.549392
3959.25,56.537304
3959.125,56.454645
3959,56.295667
3958.875,56.104554
3958.75,55.966365
3958.625,55.949009
3958.5,56.049896
3958.375,56.204582
3958.25,56.34489
3958.125,56.436694
3958,56.460256
3957.875,56.378005
3957.75,56.152296
3957.625,55.808123
3957.5,55.465941
3957.375,55.284701
3957.25,55.349773
3957.125,55.613062
3957,55.942743
3956.875,56.227601
3956.75,56.428959
3956.625,56.554659
3956.5,56.618821
3956.375,56.633396
3956.25,56.611022
3956.125,56.556733
3956,56.471399
3955.875,56.37678
3955.75,56.320702
3955.625,56.337908
3955.5,56.415174
3955.375,56.509508
3955.25,56.590045
3955.125,56.648051
3955,56.680681
3954.875,56.688768
3954.75,56.684514
3954.625,56.680857
3954.5,56.675224
3954.375,56.653679
3954.25,56.595847
3954.125,56.458136
3954,56.179504
3953.875,55.754386
3953.75,55.302007
3953.625,55.018412
3953.5,55.026113
3953.375,55.280877
3953.25,55.629258
3953.125,55.935798
3953,56.15142
3952.875,56.294484
3952.75,56.403417
3952.625,56.502638
3952.5,56.591642
3952.375,56.657893
3952.25,56.698343
3952.125,56.721586
3952,56.731402
3951.875,56.722382
3951.75,56.690107
3951.625,56.626641
3951.5,56.509386
3951.375,56.322002
3951.25,56.078142
3951.125,55.765097
3951,55.244123
3950.875,54.29793
3950.75,52.894231
3950.625,51.409909
3950.5,50.485328
3950.375,50.560372
3950.25,51.546457
3950.125,52.946602
3950,54.262894
3949.875,55.259335
3949.75,55.924541
3949.625,56.32152
3949.5,56.521613
3949.375,56.591483
3949.25,56.529186
3949.125,56.218303
3949,55.545524
3948.875,54.626519
3948.75,53.850361
3948.625,53.582552
3948.5,53.780527
3948.375,53.966202
3948.25,53.668808
3948.125,52.898783
3948,52.15998
3947.875,51.987441
3947.75,52.519582
3947.625,53.48865
3947.5,54.528276
3947.375,55.413015
3947.25,56.068075
3947.125,56.49036
3947,56.718228
3946.875,56.824382
3946.75,56.874891
3946.625,56.896267
3946.5,56.896365
3946.375,56.893506
3946.25,56.903108
3946.125,56.916439
3946,56.91713
3945.875,56.907398
3945.75,56.898513
3945.625,56.885157
3945.5,56.838732
3945.375,56.711253
3945.25,56.446777
3945.125,56.034674
3945,55.581084
3944.875,55.284905
3944.75,55.288684
3944.625,55.552268
3944.5,55.905617
3944.375,56.202185
3944.25,56.389759
3944.125,56.455353
3944,56.348701
3943.875,55.933682
3943.75,54.967706
3943.625,53.203016
3943.5,50.679383
3943.375,47.990097
3943.25,46.117082
3943.125,45.835651
3943,47.17983
3942.875,49.484557
3942.75,51.899484
3942.625,53.863539
3942.5,55.216707
3942.375,56.042338
3942.25,56.496593
3942.125,56.72254
3942,56.825561
3941.875,56.873774
3941.75,56.903537
3941.625,56.921836
3941.5,56.915832
3941.375,56.878567
3941.25,56.828029
3941.125,56.794416
3941,56.794483
3940.875,56.825783
3940.75,56.876918
3940.625,56.932264
3940.5,56.975452
3940.375,56.999841
3940.25,57.007343
3940.125,56.989207
3940,56.923576
3939.875,56.808128
3939.75,56.684378
3939.625,56.610265
3939.5,56.608659
3939.375,56.646468
3939.25,56.654793
3939.125,56.571924
3939,56.393151
3938.875,56.196608
3938.75,56.097662
3938.625,56.156688
3938.5,56.336451
3938.375,56.55529
3938.25,56.757341
3938.125,56.920054
3938,57.030347
3937.875,57.08789
3937.75,57.115088
3937.625,57.133813
3937.5,57.143019
3937.375,57.138794
3937.25,57.136564
3937.125,57.148744
3937,57.160815
3936.875,57.156025
3936.75,57.144789
3936.625,57.142759
3936.5,57.141512
3936.375,57.128351
3936.25,57.110527
3936.125,57.089109
3936,57.037572
3935.875,56.945094
3935.75,56.854015
3935.625,56.813417
3935.5,56.81989
3935.375,56.839083
3935.25,56.838741
3935.125,56.74466
3935,56.424752
3934.875,55.828711
3934.75,55.143787
3934.625,54.707231
3934.5,54.732537
3934.375,55.155557
3934.25,55.740874
3934.125,56.264717
3934,56.613187
3933.875,56.787226
3933.75,56.802203
3933.625,56.495556
3933.5,55.483764
3933.375,53.501729
3933.25,50.842059
3933.125,48.297872
3933,46.561667
3932.875,45.804777
3932.75,45.893589
3932.625,46.798938
3932.5,48.541443
3932.375,50.832812
3932.25,53.070653
3932.125,54.764885
3932,55.834313
3931.875,56.448889
3931.75,56.734819
3931.625,56.69901
3931.5,56.318453
3931.375,55.62443
3931.25,54.776849
3931.125,54.096601
3931,53.912584
3930.875,54.29377
3930.75,54.979081
3930.625,55.618269
3930.5,55.9937
3930.375,55.985043
3930.25,55.486011
3930.125,54.53746
3930,53.495949
3929.875,52.881458
3929.75,52.990628
3929.625,53.706049
3929.5,54.67216
3929.375,55.576369
3929.25,56.258232
3929.125,56.676399
3929,56.862627
3928.875,56.89296
3928.75,56.850976
3928.625,56.80464
3928.5,56.806915
3928.375,56.88275
3928.25,57.006305
3928.125,57.121218
3928,57.197336
3927.875,57.248208
3927.75,57.291068
3927.625,57.321795
3927.5,57.337108
3927.375,57.347745
3927.25,57.354076
3927.125,57.337492
3927,57.293354
3926.875,57.243522
3926.75,57.197734
3926.625,57.133507
3926.5,57.028375
3926.375,56.843994
3926.25,56.403089
3926.125,55.338419
3926,53.356571
3925.875,50.697608
3925.75,48.272486
3925.625,47.151137
3925.5,47.746579
3925.375,49.497592
3925.25,51.362396
3925.125,52.633991
3925,53.287073
3924.875,53.676549
3924.75,54.057331
3924.625,54.411401
3924.5,54.591799
3924.375,54.515594
3924.25,54.249215
3924.125,53.994671
3924,53.991234
3923.875,54.359695
3923.75,55.01301
3923.625,55.732804
3923.5,56.339633
3923.375,56.776206
3923.25,57.062507
3923.125,57.230248
3923,57.312717
3922.875,57.351386
3922.75,57.378515
3922.625,57.403948
3922.5,57.427677
3922.375,57.449159
3922.25,57.458275
3922.125,57.438495
3922,57.391279
3921.875,57.339006
3921.75,57.290643
3921.625,57.224255
3921.5,57.120324
3921.375,56.966756
3921.25,56.643221
3921.125,55.788016
3921,53.925043
3920.875,50.958315
3920.75,47.621935
3920.625,45.278345
3920.5,45.013095
3920.375,46.810082
3920.25,49.652633
3920.125,52.390878
3920,54.458146
3919.875,55.840651
3919.75,56.682835
3919.625,57.109872
3919.5,57.281326
3919.375,57.360186
3919.25,57.3998
3919.125,57.379129
3919,57.326505
3918.875,57.297657
3918.75,57.270384
3918.625,57.173273
3918.5,56.922186
3918.375,56.22058
3918.25,54.419739
3918.125,51.015901
3918,46.530229
3917.875,42.665113
3917.75,41.20949
3917.625,42.663318
3917.5,45.953363
3917.375,49.342457
3917.25,51.549485
3917.125,52.234092
3917,51.890451
3916.875,51.423475
3916.75,51.595374
3916.625,52.583418
3916.5,53.993932
3916.375,55.30722
3916.25,56.270364
3916.125,56.904484
3916,57.297266
3915.875,57.506657
3915.75,57.593084
3915.625,57.623157
3915.5,57.630837
3915.375,57.622836
3915.25,57.613419
3915.125,57.615176
3915,57.610533
3914.875,57.572451
3914.75,57.507674
3914.625,57.452898
3914.5,57.434888
3914.375,57.454954
3914.25,57.500691
3914.125,57.553201
3914,57.590963
3913.875,57.604715
3913.75,57.602908
3913.625,57.594302
3913.5,57.57701
3913.375,57.553509
3913.25,57.54083
3913.125,57.552858
3913,57.583858
3912.875,57.619764
3912.75,57.654437
3912.625,57.685801
3912.5,57.707997
3912.375,57.717811
3912.25,57.720359
3912.125,57.721343
3912,57.721521
3911.875,57.722369
3911.75,57.727099
3911.625,57.732917
3911.5,57.732824
3911.375,57.727276
3911.25,57.723241
3911.125,57.720607
3911,57.711966
3910.875,57.697214
3910.75,57.686077
3910.625,57.684803
3910.5,57.691672
3910.375,57.704992
3910.25,57.722932
3910.125,57.736662
3910,57.737605
3909.875,57.730739
3909.75,57.727957
3909.625,57.730405
3909.5,57.731222
3909.375,57.731459
3909.25,57.737032
3909.125,57.743303
3909,57.74036
3908.875,57.73161
3908.75,57.729765
3908.625,57.736857
3908.5,57.744636
3908.375,57.750039
3908.25,57.751525
3908.125,57.736771
3908,57.69692
3907.875,57.646482
3907.75,57.602401
3907.625,57.550296
3907.5,57.461596
3907.375,57.322617
3907.25,57.067027
3907.125,56.453083
3907,55.123711
3906.875,52.96015
3906.75,50.440302
3906.625,48.531475
3906.5,48.039518
3906.375,48.97609
3906.25,50.577101
3906.125,51.984462
3906,52.868922
3905.875,53.419681
3905.75,53.874833
3905.625,54.224003
3905.5,54.253242
3905.375,53.575927
3905.25,51.525252
3905.125,47.388204
3905,41.21631
3904.875,34.501447
3904.75,29.711908
3904.625,28.774199
3904.5,31.82557
3904.375,37.310517
3904.25,43.204685
3904.125,48.134172
3904,51.665037
3903.875,53.925362
3903.75,55.206553
3903.625,55.815491
3903.5,56.012938
3903.375,55.880881
3903.25,55.254329
3903.125,53.895029
3903,51.72575
3902.875,48.791679
3902.75,45.03419
3902.625,40.4083
3902.5,35.479977
3902.375,31.739675
3902.25,30.899554
3902.125,33.579449
3902,38.755125
3901.875,44.531588
3901.75,49.417785
3901.625,52.878988
3901.5,55.032384
3901.375,56.18903
3901.25,56.680583
3901.125,56.817938
3901,56.793054
3900.875,56.646228
3900.75,56.346989
3900.625,55.778277
3900.5,54.538452
3900.375,51.898073
3900.25,47.289351
3900.125,41.084086
3900,34.908944
3899.875,30.948761
3899.75,30.657642
3899.625,33.894477
3899.5,39.169089
3899.375,44.669712
3899.25,49.149655
3899.125,52.145814
3899,53.726738
3898.875,54.245229
3898.75,54.20017
3898.625,54.085323
3898.5,54.209671
3898.375,54.632727
3898.25,55.253987
3898.125,55.932059
3898,56.549333
3897.875,57.035181
3897.75,57.371611
3897.625,57.573333
3897.5,57.664474
3897.375,57.680949
3897.25,57.674377
3897.125,57.686148
3897,57.720487
3896.875,57.761005
3896.75,57.801995
3896.625,57.845779
3896.5,57.884081
3896.375,57.905693
3896.25,57.912465
3896.125,57.90724
3896,57.878801
3895.875,57.821436
3895.75,57.758158
3895.625,57.720973
3895.5,57.711824
3895.375,57.693074
3895.25,57.592671
3895.125,57.301605
3895,56.712461
3894.875,55.838361
3894.75,54.912814
3894.625,54.307803
3894.5,54.289043
3894.375,54.821724
3894.25,55.620253
3894.125,56.369384
3894,56.894161
3893.875,57.148244
3893.75,57.123979
3893.625,56.83859
3893.5,56.396838
3893.375,55.992724
3893.25,55.783425
3893.125,55.751133
3893,55.693009
3892.875,55.364958
3892.75,54.662246
3892.625,53.66916
3892.5,52.436745
3892.375,50.613751
3892.25,47.419073
3892.125,42.356578
3892,36.199373
3891.875,31.107357
3891.75,29.333454
3891.625,31.608084
3891.5,36.721201
3891.375,42.631911
3891.25,47.798795
3891.125,51.639113
3891,54.184714
3890.875,55.701929
3890.75,56.538207
3890.625,57.007456
3890.5,57.282772
3890.375,57.429555
3890.25,57.516553
3890.125,57.615469
3890,57.729688
3889.875,57.818976
3889.75,57.879064
3889.625,57.929535
3889.5,57.955906
3889.375,57.938089
3889.25,57.907682
3889.125,57.905639
3889,57.912663
3888.875,57.89097
3888.75,57.859639
3888.625,57.858866
3888.5,57.875046
3888.375,57.872938
3888.25,57.864203
3888.125,57.870271
3888,57.857228
3887.875,57.779711
3887.75,57.646686
3887.625,57.476919
3887.5,57.242684
3887.375,56.905135
3887.25,56.375698
3887.125,55.323148
3887,53.163264
3886.875,49.482542
3886.75,44.463743
3886.625,38.751522
3886.5,33.038002
3886.375,28.073446
3886.25,25.004663
3886.125,25.116274
3886,28.820094
