Wavenumber,Intensity
4000,57.620201
3999.875,57.621285
3999.75,57.617564
3999.625,57.61097
3999.5,57.602049
3999.375,57.595885
3999.25,57.600441
3999.125,57.615325
3999,57.63029
3998.875,57.637982
3998.75,57.641023
3998.625,57.64426
3998.5,57.64853
3998.375,57.654652
3998.25,57.66434
3998.125,57.673269
3998,57.672159
3997.875,57.6596
3997.75,57.646619
3997.625,57.643651
3997.5,57.649807
3997.375,57.65856
3997.25,57.666491
3997.125,57.671862
3997,57.672231
3996.875,57.669061
3996.75,57.668194
3996.625,57.670462
3996.5,57.668559
3996.375,57.657039
3996.25,57.633916
3996.125,57.580373
3996,57.44947
3995.875,57.20118
3995.75,56.864781
3995.625,56.556467
3995.5,56.414359
3995.375,56.499662
3995.25,56.755218
3995.125,57.059915
3995,57.317614
3994.875,57.497944
3994.75,57.612028
3994.625,57.676263
3994.5,57.705811
3994.375,57.72015
3994.25,57.733917
3994.125,57.746251
3994,57.750377
3993.875,57.748157
3993.75,57.743332
3993.625,57.726842
3993.5,57.685115
3993.375,57.623755
3993.25,57.570328
3993.125,57.551153
3993,57.572669
3992.875,57.623163
3992.75,57.682632
3992.625,57.731302
3992.5,57.759325
3992.375,57.77106
3992.25,57.775228
3992.125,57.773829
3992,57.764114
3991.875,57.739144
3991.75,57.673751
3991.625,57.525151
3991.5,57.278163
3991.375,56.993222
3991.25,56.781923
3991.125,56.721597
3991,56.802246
3990.875,56.960547
3990.75,57.142525
3990.625,57.319155
3990.5,57.464378
3990.375,57.550102
3990.25,57.569286
3990.125,57.549702
3990,57.536427
3989.875,57.560776
3989.75,57.623561
3989.625,57.702038
3989.5,57.771709
3989.375,57.822766
3989.25,57.857606
3989.125,57.878985
3989,57.887762
3988.875,57.8896
3988.75,57.893757
3988.625,57.902825
3988.5,57.910875
3988.375,57.913633
3988.25,57.913668
3988.125,57.914367
3988,57.916074
3987.875,57.919977
3987.75,57.928227
3987.625,57.937829
3987.5,57.941593
3987.375,57.937696
3987.25,57.931778
3987.125,57.926991
3987,57.918582
3986.875,57.901422
3986.75,57.877872
3986.625,57.85621
3986.5,57.845817
3986.375,57.85373
3986.25,57.878202
3986.125,57.903294
3986,57.906712
3985.875,57.87782
3985.75,57.827503
3985.625,57.780647
3985.5,57.761363
3985.375,57.780647
3985.25,57.829641
3985.125,57.885198
3985,57.927961
3984.875,57.955876
3984.75,57.976844
3984.625,57.992987
3984.5,57.999836
3984.375,57.996834
3984.25,57.988413
3984.125,57.975228
3984,57.952507
3983.875,57.916507
3983.75,57.866786
3983.625,57.805888
3983.5,57.743883
3983.375,57.696163
3983.25,57.664644
3983.125,57.626778
3983,57.559361
3982.875,57.474383
3982.75,57.417199
3982.625,57.427213
3982.5,57.507975
3982.375,57.633512
3982.25,57.76947
3982.125,57.886163
3982,57.965734
3981.875,58.004144
3981.75,58.00404
3981.625,57.969521
3981.5,57.915376
3981.375,57.873362
3981.25,57.872354
3981.125,57.91057
3981,57.958754
3980.875,57.988764
3980.75,57.987674
3980.625,57.952139
3980.5,57.890852
3980.375,57.833841
3980.25,57.817972
3980.125,57.853473
3980,57.916775
3979.875,57.978446
3979.75,58.025081
3979.625,58.053587
3979.5,58.063387
3979.375,58.062085
3979.25,58.064128
3979.125,58.075667
3979,58.090853
3978.875,58.105784
3978.75,58.123335
3978.625,58.141243
3978.5,58.150324
3978.375,58.149521
3978.25,58.149339
3978.125,58.155566
3978,58.162476
3977.875,58.165426
3977.75,58.16597
3977.625,58.159995
3977.5,58.133616
3977.375,58.073376
3977.25,57.96706
3977.125,57.797162
